team1Name,team2Name,week,day,start,end,season,league,location
Team 1,Team 2,12,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 3,12,2,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 4,12,3,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 5,12,4,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 6,12,5,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 7,12,6,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 8,12,7,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 2,Team 3,12,3,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 4,12,2,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 5,12,5,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 6,12,4,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 7,12,7,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 8,12,6,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 3,Team 4,12,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 3,Team 5,12,6,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 6,12,7,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 7,12,4,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 8,12,5,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 4,Team 5,12,7,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 4,Team 6,12,6,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 4,Team 7,12,5,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 4,Team 8,12,4,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 5,Team 6,12,1,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 5,Team 7,12,2,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 5,Team 8,12,3,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 6,Team 7,12,3,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 6,Team 8,12,2,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 7,Team 8,12,1,17.0,19.0,2024,League 1,Venue 1 Field #4
Team 1,Team 2,13,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 3,13,2,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 4,13,3,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 5,13,4,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 6,13,5,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 2,Team 3,13,3,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 4,13,2,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 5,13,5,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 6,13,4,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 3,Team 4,13,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 3,Team 5,13,6,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 3,Team 6,13,7,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 4,Team 5,13,7,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 4,Team 6,13,6,17.0,19.0,2024,League 1,Venue 1 Field #2
