team1Name,team2Name,week,day,start,end,season,league,location
Brownburgh Pirates,Davidbury Chiefs,16,5,11.0,13.0,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Mooreview Eagles,16,2,16.5,18.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Jasonbury Bears,17,2,16.5,18.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Lake Amanda Grizzlies,16,5,13.0,15.0,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,New Scott Wildcats,18,2,16.5,18.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Garrettburgh Pirates,16,5,15.0,17.0,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,East Albert Jacks,16,3,3.5,5.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,New Jason Dolphins,17,3,3.5,5.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Port Rebeccachester Hawks,17,5,13.5,15.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Port Annaberg Jacks,17,5,9.5,11.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Port Justin Sabres,16,7,2.0,4.0,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,West Lauratown Robbers,18,3,3.5,5.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,North Richardhaven Dolphins,17,5,16.5,18.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Hallside Sox,19,2,16.5,18.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Zimmermanfort Americans,17,7,2.0,4.0,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,South Charles Rappers,17,5,11.5,13.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Mullinsburgh Jacks,19,3,3.5,5.5,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,South Dean Bears,18,5,11.0,13.0,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,Lake Leroy Rappers,18,5,13.0,15.0,2024,Platinum League,Johnsonmouth Hub Field #1
Brownburgh Pirates,West Stacie Mavericks,18,5,15.0,17.0,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Mooreview Eagles,16,5,13.0,15.0,2024,Platinum League,Johnsonmouth Hub Field #2
Davidbury Chiefs,Lake Amanda Grizzlies,16,5,15.0,17.0,2024,Platinum League,Johnsonmouth Hub Field #2
Davidbury Chiefs,New Scott Wildcats,16,4,7.5,9.5,2024,Platinum League,Johnsonmouth Hub Field #1
Davidbury Chiefs,Garrettburgh Pirates,17,4,7.5,9.5,2024,Platinum League,Johnsonmouth Hub Field #1
