team1Name,team2Name,week,day,start,end,season,league,location
Team 1,Team 2,1,1,17.0,19.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 2,1,1,19.0,21.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 3,1,2,17.0,19.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 3,1,2,19.0,21.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 4,1,3,17.0,19.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 4,1,3,19.0,21.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 5,1,4,17.0,19.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 5,1,4,19.0,21.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 6,1,5,17.0,19.0,2024,Recreational League,Venue 1 Field #1
Team 1,Team 6,1,5,19.0,21.0,2024,Recreational League,Venue 1 Field #1
Team 2,Team 3,1,3,17.0,19.0,2024,Recreational League,Venue 2 Field #2
Team 2,Team 3,1,3,19.0,21.0,2024,Recreational League,Venue 2 Field #2
Team 2,Team 4,1,2,17.0,19.0,2024,Recreational League,Venue 2 Field #2
Team 2,Team 4,1,2,19.0,21.0,2024,Recreational League,Venue 2 Field #2
Team 2,Team 5,1,5,17.0,19.0,2024,Recreational League,Venue 2 Field #2
Team 2,Team 5,1,5,19.0,21.0,2024,Recreational League,Venue 2 Field #2
Team 2,Team 6,1,4,17.0,19.0,2024,Recreational League,Venue 2 Field #2
Team 2,Team 6,1,4,19.0,21.0,2024,Recreational League,Venue 2 Field #2
Team 3,Team 4,1,1,17.0,19.0,2024,Recreational League,Venue 2 Field #2
Team 3,Team 4,1,1,19.0,21.0,2024,Recreational League,Venue 2 Field #2
Team 3,Team 5,1,6,17.0,19.0,2024,Recreational League,Venue 1 Field #1
Team 3,Team 5,1,6,19.0,21.0,2024,Recreational League,Venue 1 Field #1
Team 3,Team 6,1,7,17.0,19.0,2024,Recreational League,Venue 1 Field #1
Team 3,Team 6,1,7,19.0,21.0,2024,Recreational League,Venue 1 Field #1
Team 4,Team 5,1,7,17.0,19.0,2024,Recreational League,Venue 2 Field #2
Team 4,Team 5,1,7,19.0,21.0,2024,Recreational League,Venue 2 Field #2
Team 4,Team 6,1,6,17.0,19.0,2024,Recreational League,Venue 2 Field #2
Team 4,Team 6,1,6,19.0,21.0,2024,Recreational League,Venue 2 Field #2
Team 5,Team 6,1,1,17.0,19.0,2024,Recreational League,Venue 3 Field #3
Team 5,Team 6,1,1,19.0,21.0,2024,Recreational League,Venue 3 Field #3
