team1Name,team2Name,week,day,start,end,season,league,location
East Jamesberg Mavericks,New Jacqueline Vikings,12,3,6.5,8.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,South Jonathan Commandos,12,5,4.5,6.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,North Adrianside Commandos,12,2,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Gallegosstad Pirates,12,6,12.0,14.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,North Stevenberg Eagles,12,3,8.5,10.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,West Kentport Chiefs,12,7,3.0,5.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,South Vincent Grizzlies,12,5,8.0,10.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Patrickshire Hawks,13,6,11.5,13.5,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Riveraton Bears,12,7,1.0,3.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Janiceland Bears,12,6,4.0,6.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,South Kara Raptors,12,6,6.0,8.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Johntown Chiefs,12,7,5.0,7.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,West Donald Mavericks,12,6,8.0,10.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Robinsonberg Bears,12,6,10.0,12.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Port Victoriaberg Americans,12,6,1.0,3.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,East Jasonberg Hornets,12,5,1.0,3.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,West Eddieland Pirates,12,7,7.0,9.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Anthonychester Vikings,12,7,9.0,11.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Roberttown Bobcats,12,7,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Lake Joshuamouth Vikings,12,7,13.0,15.0,2024,Platinum League,South Kimberly Plaza Field #1
East Jamesberg Mavericks,Lake Jean Raptors,13,2,11.0,13.0,2024,Platinum League,South Kimberly Plaza Field #1
