team1Name,team2Name,week,day,start,end,season,league,location
Team 1,Team 2,12,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 3,12,2,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 4,12,3,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 5,12,4,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 6,12,5,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 7,12,6,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 8,12,7,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 9,13,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 10,13,2,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 11,13,3,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 12,13,4,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 13,13,5,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 14,13,6,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 15,13,7,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 1,Team 16,14,1,17.0,19.0,2024,League 1,Venue 1 Field #1
Team 2,Team 3,12,3,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 4,12,2,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 5,12,5,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 6,12,4,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 7,12,7,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 8,12,6,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 9,13,2,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 10,13,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 11,13,4,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 12,13,3,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 13,13,6,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 14,13,5,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 15,14,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 2,Team 16,13,7,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 3,Team 4,12,1,17.0,19.0,2024,League 1,Venue 1 Field #2
Team 3,Team 5,12,6,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 6,12,7,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 7,12,4,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 8,12,5,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 9,13,3,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 10,13,4,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 11,13,1,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 12,13,2,17.0,19.0,2024,League 1,Venue 1 Field #3
Team 3,Team 13,13,7,17.0,19.0,2024,League 1,Venue 1 Field #3
